geoid,name,median_income,median_age,total_pop
95324,ZCTA5 95324,64167,33.3,8380
95330,ZCTA5 95330,85092,32.1,22760
95346,ZCTA5 95346,110032,58.2,1251
95365,ZCTA5 95365,40592,30.6,4775
95380,ZCTA5 95380,46580,32,42866
95385,ZCTA5 95385,68542,35.1,415
95389,ZCTA5 95389,55809,40.1,1417
95405,ZCTA5 95405,89876,45.9,21082
95412,ZCTA5 95412,72784,56.1,397
95431,ZCTA5 95431,NA,58.9,161
95436,ZCTA5 95436,64902,50.9,6240
95441,ZCTA5 95441,100938,43,1797
95451,ZCTA5 95451,54110,44.2,11603
95462,ZCTA5 95462,44261,52.7,1124
95470,ZCTA5 95470,63229,45.3,5561
95472,ZCTA5 95472,92674,51.5,30736
95482,ZCTA5 95482,52673,38.6,31482
95497,ZCTA5 95497,81833,66.1,1134
95503,ZCTA5 95503,54873,40.8,25972
95519,ZCTA5 95519,56487,36.3,19763
95531,ZCTA5 95531,44894,38.2,23737
95536,ZCTA5 95536,51045,45.3,2899
95537,ZCTA5 95537,NA,60.4,251
95559,ZCTA5 95559,2499,53.7,70
95564,ZCTA5 95564,42206,41.5,389
95607,ZCTA5 95607,75964,61.1,389
95608,ZCTA5 95608,64059,41.7,62539
95619,ZCTA5 95619,68614,41.1,5718
95624,ZCTA5 95624,93090,37.9,65948
95004,ZCTA5 95004,110741,35.6,4218
95032,ZCTA5 95032,154810,45.5,26047
95060,ZCTA5 95060,78344,36.3,47801
92040,ZCTA5 92040,79803,39.2,46306
90006,ZCTA5 90006,37072,34.1,59576
90032,ZCTA5 90032,57225,34,48031
90042,ZCTA5 90042,64267,35.8,63193
90043,ZCTA5 90043,54729,40.1,45873
90047,ZCTA5 90047,52605,38.4,51411
90049,ZCTA5 90049,129688,40.6,36418
92840,ZCTA5 92840,72926,36.6,54735
92881,ZCTA5 92881,107886,37.7,33531
92310,ZCTA5 92310,54787,22.1,9872
92314,ZCTA5 92314,53932,41.6,11385
92321,ZCTA5 92321,47222,43,1042
92054,ZCTA5 92054,63404,34.6,41807
92056,ZCTA5 92056,81583,39.9,52337
